number_of_Loans,customerid,accumlated_loan_given,accumlated_timediff,first-repay,time-to-payoff,accumulated_money_won
6,8a85886f543912e30154391ea6a3015f,130000.0,21715000000000,-610245000000000,14101117000000000,21700.0
6,8a85886f543912e301544f65621c2e9f,60000.0,21655000000000,-3817564000000000,11747124000000000,18000.0
3,8a85886f54517ee00154528c65463d2b,30000.0,10825000000000,177860000000000,7958256000000000,9000.0
10,8a85886f54517ee0015458b911ab289c,242000.0,36134000000000,-7976073000000000,20109871000000000,47075.0
10,8a85886f54517ee0015462760ec345fc,240000.0,36124000000000,-6273019000000000,18909181000000000,38300.0
13,8a85886f54517ee001546a2717571d36,343000.0,46931000000000,-847562000000000,30829905000000000,48775.0
21,8a85886f54517ee0015470749d3c3ce7,640000.0,75843000000000,-9560581000000000,35665398000000000,71475.0
10,8a858887545183ca01546142802e4b4e,220000.0,36145000000000,1806221000000000,31377848000000000,49500.0
21,8a85888c548fb3d50154947fe59c32cf,580000.0,86506000000000,-3445274000000000,35398192000000000,60600.0
1,8a85888c548fb3d501549593ea277c88,10000.0,3669000000000,65596000000000,2675701000000000,3000.0
2,8a85888c548fb3d501549748043c4fc2,20000.0,7220000000000,122991000000000,4262704000000000,4500.0
12,8a85888c54a05b820154a7b470875afa,310000.0,43340000000000,-671368000000000,34000691000000000,59150.0
7,8a85888c54a05b820154aa79afb15290,100000.0,25389000000000,4461834000000000,19097534000000000,20300.0
12,8a85888c54a05b820154ae660ed5066c,274000.0,43357000000000,-10743073000000000,22503948000000000,56425.0
12,8a85888c54be35040154c4d992b40fbe,290000.0,43361000000000,2777973000000000,32554592000000000,46450.0
7,8a85888c54be35040154c6000efd4066,120000.0,25402000000000,-289459000000000,20394164000000000,25975.0
5,8a85889853f0fbaa0153fb9927346076,75000.0,18033000000000,844342000000000,15200224000000000,19700.0
9,8a85889853f0fbaa01540444629832e2,141000.0,88537000000000,1723122000000000,29744163000000000,32650.0
9,8a85889853f0fbaa0154073e85277d85,175000.0,32508000000000,1985216000000000,23499048000000000,32950.0
7,8a858899538ddb8e01539138c80a2348,100000.0,25327000000000,-2062960000000000,16231666000000000,24100.0
15,8a858899538ddb8e01539483a5c32d6a,335000.0,54161000000000,-9014061000000000,27247654000000000,54500.0
11,8a858899538ddb8e01539cefcf160450,125000.0,39698000000000,2624302000000000,19255150000000000,18937.5
12,8a858899538ddb8e01539eccc3c375fe,220000.0,45070000000000,1609732000000000,35534186000000000,51800.0
13,8a858899538ddb8e0153a2b555421fc5,281000.0,46926000000000,-5072814000000000,34645388000000000,55825.0
21,8a858899538ddb8e0153a780c56e34bb,490000.0,75830000000000,-1683915000000000,38721067000000000,63000.0
8,8a85889953a91b8d0153ade2f64458e1,175000.0,28877000000000,-1560056000000000,16670901000000000,25750.0
2,8a85889b53acd0a20153b21f8fc43a12,20000.0,7217000000000,27260000000000,5229636000000000,6000.0
5,8a8588ae53f1cb7c0153fefa47f32810,50000.0,18094000000000,24766169000000000,38254954000000000,15000.0
2,8a8588ae53f1cb7c0153ffc5afb330b0,20000.0,7221000000000,2723386000000000,7973282000000000,6000.0
14,8a8588ae53f1cb7c015401a930c45ad7,230000.0,50538000000000,1716378000000000,35570303000000000,45500.0
1,8a8588ae53f1cb7c01540e8cf9f66b81,10000.0,3669000000000,140951000000000,1366400000000000,1500.0
13,8a8588ae53f1cb7c01540f4e83bc3b26,300000.0,46925000000000,-8390637000000000,20536767000000000,45275.0
7,8a8588ae53f1cb7c015414160f0175bc,140000.0,25284000000000,1380791000000000,15856746000000000,21500.0
3,8a8588ae53f1cb7c015418f319b81ecb,30000.0,10820000000000,4653938000000000,12744197000000000,9000.0
1,8a8588b2548362e60154854feb462ab1,10000.0,3671000000000,-1226438000000000,41246000000000,1500.0
9,8a8588b75438f499015444b1adf70876,160000.0,32510000000000,4158288000000000,26125767000000000,35400.0
4,8a8588b75438f49901544510041e0951,50000.0,14461000000000,-3269947000000000,1849350000000000,6375.0
6,8a8588b754517d800154555019c36231,60000.0,21709000000000,-743407000000000,14805760000000000,18000.0
2,8a8588bd5369b66d01536e7b60501609,20000.0,7275000000000,-677630000000000,4518362000000000,6000.0
4,8a8588bf54c8eab60154c9226d7917e7,55000.0,14558000000000,1530505000000000,9677263000000000,9700.0
7,8a8588c2546bf75901547b05ad85198b,85000.0,25274000000000,-3653794000000000,13692285000000000,21187.5
2,8a8588c7541e2f4b015432ff754e0971,20000.0,7278000000000,-1793173000000000,3514881000000000,6000.0
1,8a8588c9548a33b201548b3cdb0f0c53,10000.0,3609000000000,1151719000000000,3707273000000000,3000.0
12,8a8588d653a43f600153a832f1516034,260000.0,43357000000000,1700278000000000,38540908000000000,56200.0
1,8a8588d653a915270153aa2496f328dc,10000.0,3613000000000,1658000000000,1302276000000000,1500.0
9,8a8588dc536a141301536b1506f20efb,240000.0,32482000000000,5138233000000000,24655521000000000,30500.0
13,8a8588dc536a141301536b50d8aa10b5,300000.0,46928000000000,3630604000000000,31199859000000000,42550.0
16,8a8588dc536a14130153753dc8d32698,440000.0,90088000000000,-3934613000000000,37356773000000000,63350.0
2,8a8588dc536a1413015375acd19d4154,20000.0,7220000000000,-432963000000000,4660803000000000,6000.0
7,8a8588dc536a1413015376c0e10065b2,120000.0,118289000000000,-1552148000000000,14050785000000000,21800.0
3,8a8588dc536a14130153790b5b5d7cda,30000.0,10823000000000,13318718000000000,19791041000000000,7500.0
14,8a8588dc536a141301537b3f489b0501,190000.0,50565000000000,8573628000000000,41150906000000000,43600.0
8,8a8588dc536a1413015381dd2a4f3c5f,150000.0,28888000000000,16945503000000000,31442817000000000,21050.0
9,8a8588dc536a141301538365df9251b8,185000.0,32548000000000,-2126422000000000,26087986000000000,38687.5
2,8a8588dc5384a05f0153982119c81a51,20000.0,7277000000000,-2819237000000000,2355679000000000,6000.0
11,8a8588dc5384a05f01539af1485135ae,290000.0,39704000000000,-755647000000000,29558270000000000,52100.0
6,8a8588dc5384a05f01539d3773865219,110000.0,65316000000000,2596203000000000,20445051000000000,26400.0
15,8a8588dc5384a05f0153a3e02aa271a9,276000.0,54155000000000,-7745970000000000,28223797000000000,46400.0
6,8a8588dd54a3ead30154aa7d6b092010,60000.0,21660000000000,29232000000000,10627263000000000,11250.0
6,8a8588dd54a3ead30154ada314c44e09,110000.0,21716000000000,-2396480000000000,9332276000000000,18000.0
13,8a8588dd54a3ead30154bad3d2962cce,260000.0,46931000000000,5038243000000000,27188278000000000,33525.0
1,8a8588dd54be35520154bf9790ea4a55,10000.0,3608000000000,41885000000000,1317380000000000,1500.0
15,8a8588dd54be35520154c05cbe9759e5,445000.0,54181000000000,-9376209000000000,25177860000000000,52125.0
3,8a8588f35438fe1201543d4927a77644,40000.0,10888000000000,-683643000000000,3459398000000000,5250.0
6,8a8588f35438fe12015444567666018e,60000.0,21661000000000,609734000000000,9694445000000000,10500.0
1,8a8588f35438fe1201544cc7b44c5650,10000.0,3607000000000,227064000000000,2815879000000000,3000.0
13,8a8588f35451808f015463833f3a00e3,230000.0,47036000000000,-8127374000000000,14862803000000000,34150.0
5,8a8588f35451808f0154682042b8389b,65000.0,18038000000000,921807000000000,11597007000000000,13500.0
5,8a8588f35451808f015475d4e4432f4f,60000.0,18109000000000,4614713000000000,12136555000000000,9400.0
9,8a8588f35451808f01547acafc312bc2,160000.0,32541000000000,-1208842000000000,17154142000000000,26400.0
1,8a8588f35451808f01547b8e92ec220d,10000.0,3607000000000,140744000000000,1464206000000000,1500.0
14,8a8588f5542eb0d401542f48f0381490,280000.0,50540000000000,4700900000000000,37243631000000000,48300.0
11,8a8588f5542eb0d40154334e0a670186,230000.0,39701000000000,327759000000000,25039461000000000,39975.0
12,8a8588f5542eb0d401543413be2b3f9b,215000.0,48635000000000,-1518108000000000,26047120000000000,37662.5
6,8a8588f6548fb0c201549514019447e3,120000.0,21653000000000,-2857980000000000,12945083000000000,23300.0
9,8a8588f7548fb0a301549ced5ac07c9d,140000.0,32493000000000,-4177087000000000,15617397000000000,32300.0
4,8a8588f754a058cb0154b12e44351523,40000.0,14491000000000,2470804000000000,12837454000000000,10500.0
6,8a8588f754a058cb0154b3b507dc1abe,110000.0,21660000000000,-1819419000000000,13047577000000000,22900.0
14,8a8588f754a058cb0154b405217f1d65,290000.0,61018000000000,-3660806000000000,28679212000000000,43075.0
10,8a8588f754a058cb0154b922d7fe1ffd,280000.0,152291000000000,1781873000000000,26842955000000000,56800.0
12,8a8588f754a058cb0154ba36ffee5c96,170000.0,43331000000000,5817869000000000,22740795000000000,21425.0
6,8a8588f853b1b2d40153b20c9e9a0666,100000.0,21656000000000,-1976960000000000,13650183000000000,23300.0
8,8a8588f853b1b2d40153b2bb48d41263,125000.0,28874000000000,-4341770000000000,8638228000000000,17425.0
1,8a8588f853b1b2d40153b54512b22405,10000.0,3616000000000,-524349000000000,2075419000000000,3000.0
18,8a8588f853b1b2d40153b9792c2a3ace,545000.0,65037000000000,-3351350000000000,31485882000000000,52562.5
8,8a8588f853b1b2d40153bd9536925edb,145000.0,28888000000000,1573479000000000,22807695000000000,33475.0
3,8a8588f853b1b2d40153be4cdb8c6810,30000.0,10822000000000,244710000000000,6654636000000000,7500.0
8,8a8588f8541e11db01542a1ef37c7f27,85000.0,28877000000000,2959338000000000,18601222000000000,18375.0
3,8a8588fd53c244bc0153c2de00633728,30000.0,10833000000000,6455446000000000,12821370000000000,7500.0
10,8a8588fd53c244bc0153c39d5d176514,240000.0,36111000000000,-1855556000000000,28786201000000000,44850.0
5,8a8588fd53c244bc0153c6628bb40fe5,90000.0,18046000000000,3370520000000000,12752083000000000,15450.0
16,8a8588fd53c244bc0153c72ed1924a60,335000.0,85244000000000,-6377755000000000,36773936000000000,62300.0
8,8a8588fd53c244bc0153c74fad72587f,140000.0,28879000000000,2088420000000000,23364629000000000,30800.0
16,8a8588fd53c244bc0153c7b2842d093b,350000.0,57771000000000,-329352000000000,38922630000000000,60300.0
13,8a8588fd53c244bc0153c7b3845e0983,240000.0,47119000000000,5022047000000000,33966623000000000,48187.5
6,8a8588fd53c244bc0153c8251f132fd7,60000.0,21685000000000,6426890000000000,21903794000000000,18000.0
3,8a8588fd53c244bc0153c8305ea7338f,30000.0,10821000000000,-1379481000000000,4214630000000000,6000.0
6,8a8588fd53c244bc0153c9c031e76307,80000.0,21709000000000,-8459521000000000,6109999000000000,18250.0
11,8a8588fd53c244bc0153cb1b1c2c6cec,231000.0,39712000000000,-1381988000000000,26576919000000000,37600.0
4,8a8588fd53c244bc0153cda4fd4a486b,32000.0,14427000000000,797552000000000,8815563000000000,7125.0
1,8a8588fd53c244bc0153d0a82ef81fd7,10000.0,3607000000000,1384094000000000,4120572000000000,3000.0
7,8a8588fd53e054170153e174e0b258ba,150000.0,25344000000000,4098945000000000,22766150000000000,24000.0
7,8a8588fd53e2e6cf0153ec3302de1278,135000.0,25322000000000,-1502038000000000,16849419000000000,28850.0
12,8a8588fd53e2e6cf0153ec45be7c1613,225000.0,43398000000000,-4341119000000000,20546558000000000,35912.5
7,8a8588fd53e2e6cf0153f0a40aa33209,95000.0,25329000000000,6985033000000000,23871327000000000,21425.0
1,8a8588fd53f1099e0153f9f8e4062cf3,10000.0,3616000000000,422632000000000,2993201000000000,3000.0
9,8a8588fd53f1099e015400dd349f073e,115000.0,115056000000000,-1344034000000000,16860121000000000,23275.0
14,8a8588fd53f1099e01540ec7527b308c,340000.0,50536000000000,-855897000000000,35448598000000000,58200.0
8,8a8588fd53f1099e01540eeac7633d4c,86000.0,28887000000000,742681000000000,13886626000000000,12975.0
11,8a858900536a043401537e4c0ac5452a,226000.0,39836000000000,-420134000000000,20869990000000000,29800.0
19,8a858900536a043401537e702ff74eac,525000.0,70296000000000,-11172949000000000,33124976000000000,67600.0
7,8a858900536a043401537f6cf1b222b7,175000.0,62873000000000,-1143826000000000,17868027000000000,33850.0
11,8a858900536a043401537f79fca22800,250000.0,39714000000000,-8762658000000000,21070936000000000,43050.0
2,8a8589005384ab57015388a9a36e62e4,20000.0,7277000000000,36913000000000,5303289000000000,6000.0
5,8a85890253e2f1180153e60ece4201a1,95000.0,26518000000000,-332330000000000,11234646000000000,16850.0
4,8a85890253e2f1180153e631a46d1051,40000.0,14487000000000,-747152000000000,9896167000000000,11250.0
5,8a85890253e2f1180153eabcfe945ac3,50000.0,18043000000000,2036815000000000,15336107000000000,15000.0
9,8a8589045384bd83015384deb3ee0e13,160000.0,32491000000000,-3934506000000000,19532719000000000,32400.0
1,8a8589045384bd83015399ab579042b9,10000.0,3609000000000,-1428286000000000,1130454000000000,3000.0
5,8a8589045384bd8301539aa56b0d7404,60000.0,18052000000000,-88794000000000,11319435000000000,14900.0
13,8a8589045384bd8301539b3e362a79e8,300000.0,46897000000000,-331201000000000,25737464000000000,39100.0
10,8a8589045384bd8301539e05b3d35023,234000.0,36163000000000,-921289000000000,26298665000000000,39525.0
8,8a8589045384bd8301539e134b745638,96000.0,30061000000000,2892939000000000,15805223000000000,16450.0
4,8a8589045384bd8301539e7e9cd27c7c,50000.0,14431000000000,-1195171000000000,9507536000000000,11250.0
7,8a8589045384bd8301539e93bb010699,70000.0,25335000000000,591143000000000,9813763000000000,10500.0
12,8a8589045384bd830153a26a18566fcd,280000.0,43310000000000,-1240043000000000,37078714000000000,56400.0
14,8a85890453a912500153a9dcd2ff2bdf,300000.0,50535000000000,4310906000000000,31405100000000000,43800.0
11,8a85890754145ace01542184054739e2,265000.0,42506000000000,2117361000000000,30571255000000000,47375.0
2,8a85890754145ace015429211b513e16,20000.0,7214000000000,1454731000000000,5509510000000000,4500.0
5,8a85890754145ace015429f1960607e4,60000.0,18112000000000,410638000000000,7312332000000000,8250.0
9,8a8589125340c9660153418093970e29,140000.0,32532000000000,4571646000000000,20216635000000000,22450.0
5,8a85891e53ad0e6b0153b02de6592330,45000.0,18109000000000,14948553000000000,26821359000000000,12000.0
11,8a85891e53ad0e6b0153bdec607d1d0c,245000.0,39708000000000,191069000000000,28162138000000000,44150.0
9,8a858928548fb121015495dafe41016b,120000.0,32490000000000,-5144214000000000,14450202000000000,21475.0
1,8a858928548fb121015496238670164a,10000.0,3669000000000,-808712000000000,1744273000000000,3000.0
5,8a85892854a059ed0154a5a2e54f2c29,80000.0,18056000000000,-2509947000000000,13235994000000000,21800.0
14,8a85892854a059ed0154a763515d5c43,375000.0,50643000000000,-4329390000000000,27690225000000000,51775.0
1,8a85892854a059ed0154aa182dd84489,10000.0,3670000000000,159087000000000,2859182000000000,3000.0
7,8a85892854a059ed0154aa9b70bc638d,78000.0,25323000000000,1239565000000000,19538392000000000,21900.0
7,8a85892854a059ed0154b7fa21486170,150000.0,35205000000000,-4254404000000000,17990397000000000,31800.0
9,8a85892854be331a0154c82ebaa37440,240000.0,32539000000000,-6323333000000000,17319085000000000,35500.0
11,8a85892854be331a0154c901e52e390a,300000.0,39746000000000,-2544095000000000,24211612000000000,41700.0
12,8a858929535ff7a2015362423ea12578,160000.0,43323000000000,5990923000000000,37548673000000000,41300.0
4,8a85892e5425ad2001542d2827756546,60000.0,14463000000000,72084000000000,9128047000000000,13500.0
6,8a85892e5425ad2001543095054f5b28,60000.0,21651000000000,5258399000000000,14285655000000000,10500.0
6,8a85893d53e284930153e2a00c3303a4,60000.0,21778000000000,7887171000000000,23555093000000000,18000.0
8,8a85893d53e2e2f30153e587432034bf,145000.0,28919000000000,158832000000000,20856223000000000,27450.0
6,8a85893d53e2e2f30153e9fb36255f0c,70000.0,21648000000000,3809972000000000,14247114000000000,13500.0
15,8a85893d53e2e2f30153ea96bf9d09ca,335000.0,61087000000000,-3414126000000000,30881317000000000,47650.0
14,8a85893d53e2e2f30153efcc6da71f5f,340000.0,50583000000000,-3696047000000000,35855202000000000,61250.0
15,8a85893d53e2e2f30153f00df3e33622,335000.0,54184000000000,-4428016000000000,37235137000000000,61025.0
5,8a85893d53f104eb0153f5a6a7d850eb,100000.0,18057000000000,-2050103000000000,9854945000000000,17250.0
10,8a85893d53f104eb0153f65ccad80981,190000.0,36148000000000,-1862068000000000,18793005000000000,30225.0
16,8a85893d53f104eb0153fec8703465f1,305000.0,57907000000000,-7499977000000000,33841098000000000,60650.0
4,8a85893d53f104eb015400808d86752b,40000.0,14490000000000,-1162877000000000,9160812000000000,12000.0
13,8a85893d53f104eb0154012858000b78,380000.0,47038000000000,-6671525000000000,27222119000000000,54300.0
10,8a85893d53f104eb0154055224bd3220,235000.0,36106000000000,-2148075000000000,27406347000000000,46700.0
6,8a85893d53f104eb015409d628cd0e46,60000.0,21719000000000,6128442000000000,20349179000000000,16500.0
4,8a85893d53f104eb015409e83f5b166a,40000.0,14440000000000,200078000000000,6514203000000000,7000.0
16,8a85893d53f104eb01540e4ca76369ad,400000.0,57776000000000,-6982483000000000,28049217000000000,57175.0
1,8a85893d53f104eb01540e7f589775c3,10000.0,3668000000000,72192000000000,2596830000000000,3000.0
1,8a85893d53f104eb01540f07d008224d,10000.0,3607000000000,1967829000000000,4500275000000000,3000.0
6,8a85893d542e18bc01542e37365c120a,126000.0,21659000000000,259228000000000,19244173000000000,25700.0
3,8a85893d542e18bc015438b652f841c3,30000.0,10830000000000,-462196000000000,7691762000000000,9000.0
11,8a85895054a061920154a909b1a76c1d,220000.0,39718000000000,-221359000000000,23651048000000000,34725.0
6,8a85895054a061920154a97b3a201bf9,110000.0,23503000000000,-2444581000000000,13179485000000000,21800.0
1,8a85895054a061920154a9c8935d351f,10000.0,3610000000000,57369000000000,2724109000000000,3000.0
10,8a85895054a061920154bc6d424318e0,225000.0,36112000000000,802136000000000,22958116000000000,35437.5
2,8a85895054be35160154c36a6ba03ea0,20000.0,7221000000000,-144606000000000,2408440000000000,3000.0
14,8a85895054be35160154c4ecf44a240c,470000.0,50552000000000,-3543546000000000,32794277000000000,61100.0
7,8a858953548fb0c0015497256a1f4a6d,135000.0,28914000000000,-421677000000000,16563486000000000,24850.0
7,8a858953548fb0c001549b2149246862,115000.0,93611000000000,157388000000000,18821335000000000,25075.0
12,8a858953548fb0c001549b31ac5f6dda,205000.0,43340000000000,-6735792000000000,22925465000000000,35275.0
9,8a858953548fb0c001549d3ca0e6369c,210000.0,32490000000000,-1861390000000000,25347340000000000,45800.0
2,8a85895354a059690154b945ddd2161f,20000.0,7276000000000,731202000000000,3355914000000000,3000.0
9,8a85895354a059690154be274bd235f2,175000.0,32557000000000,-1474794000000000,20771149000000000,31850.0
9,8a858957536752f3015375a5f55e5eaa,108000.0,32537000000000,8070337000000000,31709657000000000,28700.0
7,8a858959537a097401537c7ed53d0780,147000.0,25274000000000,-2131009000000000,18902425000000000,29450.0
6,8a858959537a097401537f0fb3eb6abe,125000.0,21771000000000,-840042000000000,13311265000000000,20950.0
3,8a8589595384a85301538ab9e183018a,30000.0,10837000000000,-2368104000000000,4003718000000000,7500.0
1,8a8589595384a8530153931b3d824f62,10000.0,3606000000000,62881000000000,2647527000000000,3000.0
1,8a8589595384a853015395639a276821,10000.0,3670000000000,-814012000000000,413706000000000,1500.0
9,8a8589595384a8530153977b118e725e,210000.0,32505000000000,-3671040000000000,17939223000000000,34300.0
8,8a8589595384a85301539875d3d51e79,147000.0,28900000000000,-3613879000000000,20466066000000000,31700.0
4,8a8589595384a8530153a32a2e9f584d,70000.0,17573000000000,2774586000000000,11838065000000000,12400.0
7,8a858966538deb19015392224ebd20b4,140000.0,25250000000000,-2603109000000000,15749127000000000,26300.0
3,8a858966538deb19015395798cfa3ee0,30000.0,10825000000000,6770766000000000,14542939000000000,9000.0
11,8a858966538deb19015395ac1d4f416f,192000.0,39703000000000,-11512451000000000,21512477000000000,40275.0
5,8a858966538deb1901539d3459133c24,45000.0,18048000000000,5519810000000000,11842719000000000,6750.0
